ENERGY;Dx;Dy;Dz;Pcis
 -205.774583948  ;  0.8968  ; -1.2385   ; -0.0192  ;1
 -205.776918271  ;  0.7699  ; -1.2542   ;  0.1981  ;1
 -205.774967216  ;  0.6494  ; -1.2687   ;  0.3978  ;1
 -205.769759550  ;  0.5351  ; -1.2819   ;  0.5809  ;1
 -205.762109396  ;  0.4269  ; -1.2940   ;  0.7485  ;1
 -205.752657745  ;  0.3244  ; -1.3051   ;  0.9018  ;1
 -205.741905473  ;  0.2274  ; -1.3152   ;  1.0419  ;1
 -205.730240711  ;  0.1355  ; -1.3245   ;  1.1701  ;1
 -205.717962192  ;  0.0486  ; -1.3330   ;  1.2874  ;1
 -205.705297924  ; -0.0337  ; -1.3408   ;  1.3948  ;1
 -205.692420969  ; -0.1118  ; -1.3480   ;  1.4935  ;1
 -205.679462328  ; -0.1857  ; -1.3547   ;  1.5842  ;1
 -205.666520973  ; -0.2557  ; -1.3608   ;  1.6679  ;1
 -205.653671818  ; -0.3221  ; -1.3665   ;  1.7453  ;1
 -205.640971846  ; -0.3850  ; -1.3718   ;  1.8170  ;1
 -205.628464522  ; -0.4446  ; -1.3768   ;  1.8836  ;1
 -205.616183095  ; -0.5010  ; -1.3813   ;  1.9456  ;1
 -205.727869316  ;  1.3434  ; -1.1566   ; -0.7630  ;1
 -205.752136457  ;  1.1984  ; -1.1764   ; -0.4873  ;1
 -205.767207376  ;  1.0594  ; -1.1948   ; -0.2317  ;1
 -205.775100706  ;  0.9265  ; -1.2118   ;  0.0045  ;1
 -205.777429919  ;  0.7999  ; -1.2274   ;  0.2222  ;1
 -205.775482338  ;  0.6796  ; -1.2417   ;  0.4222  ;1
 -205.770282426  ;  0.5655  ; -1.2549   ;  0.6057  ;1
 -205.762641098  ;  0.4574  ; -1.2669   ;  0.7737  ;1
 -205.753196995  ;  0.3550  ; -1.2780   ;  0.9275  ;1
 -205.742449298  ;  0.2580  ; -1.2881   ;  1.0683  ;1
 -205.730784976  ;  0.1661  ; -1.2974   ;  1.1970  ;1
 -205.718501983  ;  0.0791  ; -1.3059   ;  1.3149  ;1
 -205.705827870  ; -0.0033  ; -1.3138   ;  1.4230  ;1
 -205.692935462  ; -0.0814  ; -1.3210   ;  1.5224  ;1
 -205.679955722  ; -0.1554  ; -1.3277   ;  1.6138  ;1
 -205.666987676  ; -0.2255  ; -1.3339   ;  1.6981  ;1
 -205.654106411  ; -0.2920  ; -1.3397   ;  1.7761  ;1
 -205.641369118  ; -0.3550  ; -1.3451   ;  1.8485  ;1
 -205.628819540  ; -0.4147  ; -1.3501   ;  1.9157  ;1
 -205.616491189  ; -0.4713  ; -1.3548   ;  1.9783  ;1
 -205.728538582  ;  1.3704  ; -1.1292   ; -0.7391  ;1
 -205.752729978  ;  1.2260  ; -1.1489   ; -0.4633  ;1
 -205.767758243  ;  1.0874  ; -1.1671   ; -0.2076  ;1
 -205.775631582  ;  0.9550  ; -1.1839   ;  0.0288  ;1
 -205.777955541  ;  0.8287  ; -1.1994   ;  0.2466  ;1
 -205.776011503  ;  0.7087  ; -1.2136   ;  0.4469  ;1
